movie_name,year,genre,rating,description
Invisible Hacker,2023,"Action, Sci-Fi",10.0,"""Invisible Hacker"" is an action-packed thriller about two skilled hackers, Ricky Riyaf and Juwel Chowdhury, who find themselves on opposite sides of the law. Ricky, a former black hat ...                See full summary »"
Love Mein,2022,"Action, Romance",10.0,This is 2016's love story where the only daughter of multi-millionaire businessman is in deep love with son of his co-worker. Would her father accept the relationship or not?
An Example of Teenage Boredom: The Movie,2022,"Action, Comedy, Western",10.0,"It's the time of the Wild West. No. It's the time of the late 80s. Uh. It's the time of the Present Time. Nope. Hold on. Thunder and Laughter. No. Stairs. Walking. And more stairs. No. Grass. Sky. An-Old-Man-Near-A-Tree. Oh, it's done."
Low Heat,2021,"Action, Comedy, Drama",9.9,The foul mouth quick quipping Jamal becomes involved with two greedy drug dealers in a drug deal that's gone completely off track. Jamal becomes captured alongside an unlikely ally. The ...                See full summary »
Hangga't may hininga,1964,Action,9.8,Three fighting brothers in blood out to kill their own father.
Angelito San Miguel at Ang Mga Batang City Jail,1991,"Action, Crime, Drama",9.8,Angelito leads a group of young ex-convicts who will risk going back to prison in order to fight a notorious syndicate.
The Key of Baku,2022,Action,9.8,Add a Plot
The Shoonyah: Chapter 1 - Blow of the War Horns,2021,Action,9.8,"This epic fantasy fiction portrays Indian martial art form Kalarippayattu at it's best. The magnificent journey of a martial art prodigy from a young aspiring boy to a legendary warrior, ...                See full summary »"
Thorn in the Center of the Heart (Sin Lai Guh Ling Bang Do),2021,Action,9.7,"Khan Pi is a father, retired from military special operations, and struggling to pay medical bills since the death of his wife. Offered a chance to get rich, Khan Pi has to decide whether to care for his family or maintain his integrity."
Agent Big Bones: Who Killed Jason Bones?,2021,Action,9.7,Add a Plot
Shiba King: Assassination,2022,"Action, Comedy, Mystery",9.7,"A dark comedy, murder mystery, and virtual odyssey following Detective Burgers and MonsterMutt trying to solve the assassination of the king of the Shibas, Pikapetey."
Prince of Eurasia,2022,"Action, Biography, History",9.7,"Rare historical biography of Prince Oak Oakleyski was encapsulated in this movie. Filming mainly in Uzbekistan, the original homeland of royal ancestry of Prince Oak Oakleyski. Some dust-up actions were brought into play for zest."
